"","participant","cue","phase","condition","target","response","rt","correct","Column1","Column2","pred_correct"
"237",1009,"PARCEL","test","error","BOX","BOX",2110,1,NA,"",0.846641556853875
"238",1009,"SWING","test","error","TREE","TREE",3022,1,NA,"",0.846641556853875
"239",1009,"SAFARI","test","error","DESERT","SNACK",12959,0,NA,"",0.846641556853875
"240",1009,"TEA","test","error","LEAVES","LEAVES",3727,1,NA,"",0.846641556853875
"241",1009,"SAIL","test","error","OCEAN","OCEAN",4398,1,NA,"",0.846641556853875
"242",1009,"ROBIN","test","error","RED","RED",2111,1,NA,"",0.846641556853875
"243",1009,"CHUNK","test","error","BLOCK","BLOCK",10879,1,NA,"",0.846641556853875
"244",1009,"LAUNDRY","test","error","SOAP","SOAP",2398,1,NA,"",0.846641556853875
"245",1010,"EYES","test","error","COLOR","COLOR",1918,1,NA,"",0.895719214519998
"246",1010,"CHIMNEY","test","error","BRICK","BRICK",3245,1,NA,"",0.895719214519998
"247",1010,"SIDE","test","error","ORDER","CORNER",12686,0,NA,"",0.895719214519998
"248",1010,"GLIDE","test","error","HANG","HANG",3054,1,NA,"",0.895719214519998
"249",1010,"SAIL","test","error","OCEAN","OCEAN",3246,1,NA,"",0.895719214519998
"250",1010,"COURAGEOUS","test","error","LION","LION",2285,1,NA,"",0.895719214519998
"251",1010,"ELEVATOR","test","error","BUILDING","BUILDING",7038,1,NA,"",0.895719214519998
"252",1010,"LATIN","test","error","FRENCH","FRENCH",2014,1,NA,"",0.895719214519998
"253",1010,"DRACULA","test","error","SCARY","SCARY",2302,1,NA,"",0.895719214519998
"254",1010,"PRESCRIPTION","test","error","PILL","PILL",2862,1,NA,"",0.895719214519998
"255",1010,"FUGITIVE","test","error","RUN","RUN",2350,1,NA,"",0.895719214519998
"256",1010,"DIAMETER","test","error","LENGTH","LENGTH",6734,1,NA,"",0.895719214519998
"257",1010,"TEA","test","error","LEAVES","LEAVES",2782,1,NA,"",0.895719214519998
"258",1010,"PARCEL","test","error","BOX","BOX",1886,1,NA,"",0.895719214519998
"259",1010,"SAFARI","test","error","DESERT","DESERT",2317,1,NA,"",0.895719214519998
"260",1010,"MEASUREMENT","test","error","HEIGHT","HEIGHT",2974,1,NA,"",0.895719214519998
"261",1010,"CHUNK","test","error","BLOCK","BLOCK",6958,1,NA,"",0.895719214519998
"262",1010,"WELL","test","error","DONE","DONE",4062,1,NA,"",0.895719214519998
"263",1010,"SWING","test","error","TREE","TREE",4158,1,NA,"",0.895719214519998
"264",1010,"ROBIN","test","error","RED","RED",2637,1,NA,"",0.895719214519998
"265",1010,"PORTRAY","test","error","SHOW","SHOW",2318,1,NA,"",0.895719214519998
"266",1010,"CANYON","test","error","MOUNTAIN","LOW",12574,0,NA,"",0.895719214519998
